MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,Total_Risk,Infrastructure_Risk,Natural_Risk,Human_Risk,Water_Risk
4,7,8,2,2,9,6,3,4,3,3,8,3,4,6,6,9,1,9,6,0.515,103,15,14,7,19
3,7,8,7,1,1,7,5,7,4,3,6,6,3,9,4,7,6,13,6,0.565,113,17,15,12,19
11,4,4,7,5,9,8,5,4,4,8,3,6,4,4,5,3,3,4,10,0.555,111,9,19,16,12
4,6,4,5,7,9,8,3,6,4,2,7,5,5,6,7,6,6,7,5,0.56,112,14,15,16,14
5,3,1,3,7,4,5,5,3,4,9,9,4,9,1,8,7,6,5,3,0.505,101,13,15,14,15
4,4,4,6,7,5,8,6,7,9,8,11,7,6,9,4,6,4,6,6,0.635,127,10,19,22,21
4,4,3,5,9,10,2,4,7,6,9,8,6,5,5,2,6,4,7,3,0.545,109,9,14,20,15
3,5,5,3,5,3,5,5,3,6,3,5,4,5,3,5,4,4,5,4,0.425,85,10,11,14,15
9,6,6,7,8,10,7,5,6,5,4,4,6,7,5,6,5,5,3,5,0.595,119,9,21,20,15
2,6,3,2,0,3,6,2,3,5,8,5,3,7,8,5,3,2,12,7,0.46,92,17,17,7,10
2,4,6,3,7,5,5,2,3,9,3,3,8,3,3,6,6,7,3,6,0.47,94,9,8,19,11
3,9,3,6,1,6,2,3,3,8,3,4,4,3,8,5,5,6,3,5,0.45,90,8,14,15,10
3,7,10,5,4,3,4,5,7,3,6,3,2,6,2,4,6,5,6,3,0.47,94,10,11,12,18
5,3,6,4,5,3,6,5,4,4,3,8,6,6,6,7,3,4,7,4,0.495,99,14,17,13,19
12,6,5,4,3,7,8,8,4,4,4,4,3,5,7,4,3,4,9,5,0.545,109,13,24,11,17
6,6,1,7,5,6,6,8,5,8,8,8,5,5,6,4,4,6,12,6,0.61,122,16,17,20,17
4,4,5,7,6,3,6,6,5,6,6,4,3,7,5,7,5,5,3,3,0.5,100,10,16,19,15
1,5,11,3,5,4,3,7,10,9,4,5,9,4,4,2,6,11,4,2,0.545,109,6,9,17,23
3,6,5,3,3,5,6,7,4,10,5,10,7,7,2,4,6,10,3,7,0.565,113,7,12,16,22
5,7,10,4,7,6,3,8,4,6,5,6,4,6,3,3,2,2,3,3,0.485,97,6,14,17,24
4,6,6,0,4,7,3,8,3,4,2,8,3,6,6,7,5,10,11,6,0.545,109,18,16,8,22
5,10,3,7,9,9,5,6,4,6,3,6,6,9,4,7,6,2,5,4,0.58,116,12,18,22,15
4,3,7,6,4,5,5,2,2,2,5,7,5,3,6,5,4,6,7,8,0.48,96,12,13,12,16
4,2,5,1,3,6,7,8,3,5,4,2,2,6,3,4,5,4,8,2,0.42,84,12,13,9,15
6,6,6,4,5,6,3,7,6,4,4,3,4,3,5,6,5,5,4,1,0.465,93,10,14,13,16
2,2,5,5,3,3,1,7,2,5,7,5,9,5,9,8,11,8,7,6,0.55,110,15,16,13,17
2,5,5,4,6,10,1,4,3,3,2,5,3,8,6,6,5,4,7,4,0.465,93,13,16,13,14
7,4,4,6,7,7,5,2,6,6,4,6,6,7,6,8,7,5,7,4,0.57,114,15,20,19,12
6,7,5,1,6,5,2,3,9,7,6,4,7,5,5,5,4,6,3,6,0.51,102,8,16,14,12
3,7,6,4,3,8,2,4,7,5,8,7,3,3,6,5,5,3,2,5,0.48,96,7,12,12,17
5,3,1,3,6,5,3,3,4,7,7,5,9,1,2,7,6,8,5,5,0.475,95,12,8,16,9
6,7,8,2,7,6,6,3,5,4,1,6,8,9,5,6,4,4,4,7,0.54,108,10,20,13,17
6,4,6,5,6,4,7,2,8,4,8,6,6,4,6,5,7,3,4,8,0.545,109,9,16,15,14
6,9,4,4,2,4,1,6,9,3,4,5,5,3,4,5,2,5,4,5,0.45,90,9,13,9,15
3,4,9,8,6,6,9,5,10,1,8,2,2,7,6,4,6,3,6,4,0.545,109,10,16,15,16
12,5,6,3,3,7,3,3,6,4,7,5,7,8,3,2,4,8,7,8,0.555,111,9,23,10,14
6,9,5,9,4,7,4,5,5,7,3,7,7,6,4,4,1,4,8,8,0.565,113,12,16,20,17
6,4,6,2,5,9,9,4,5,3,3,5,5,11,3,2,4,6,4,7,0.515,103,6,20,10,15
4,5,4,8,3,6,3,3,5,5,8,6,5,6,6,6,5,8,2,4,0.51,102,8,16,16,13
5,6,10,6,3,5,3,4,8,10,6,8,5,5,7,9,6,9,3,4,0.61,122,12,17,19,22
8,5,5,6,4,3,3,6,7,6,1,10,4,2,5,1,6,9,1,2,0.47,94,2,15,16,21
2,6,4,2,3,6,6,2,6,5,3,5,5,6,2,3,8,9,4,8,0.475,95,7,10,10,11
9,7,4,8,3,7,5,5,1,9,3,5,6,4,7,4,6,3,8,6,0.55,110,12,20,20,14
6,7,9,3,6,2,4,3,1,4,4,2,10,2,10,2,3,9,4,12,0.515,103,6,18,13,14
3,2,1,2,5,6,5,0,2,4,3,6,4,2,4,7,3,4,5,3,0.355,71,12,9,11,7
3,3,1,8,3,4,7,9,4,6,4,3,6,6,3,2,6,0,9,7,0.47,94,11,12,17,13
5,3,7,7,4,4,4,3,10,11,2,6,4,4,8,5,9,6,8,4,0.57,114,13,17,22,16
2,6,6,3,4,1,6,6,5,4,4,2,5,3,3,4,5,4,7,5,0.425,85,11,8,11,14
9,6,8,8,8,6,4,3,6,4,7,4,10,4,4,10,8,5,4,6,0.62,124,14,17,20,15
2,6,7,5,6,9,10,7,4,5,5,4,1,2,8,4,4,3,3,6,0.505,101,7,12,16,18
2,4,11,4,4,7,6,5,5,3,4,4,2,1,8,7,6,4,4,4,0.475,95,11,11,11,20
9,6,10,5,4,3,3,5,2,10,4,3,5,9,5,11,4,5,3,3,0.545,109,14,23,19,18
6,6,4,5,8,5,5,7,8,6,5,10,4,4,9,4,6,5,2,4,0.565,113,6,19,19,21
6,5,4,2,6,6,7,3,7,3,1,2,5,4,5,6,11,5,8,0,0.48,96,14,15,11,9
7,1,5,4,5,3,2,3,5,3,11,6,0,7,4,5,4,8,4,2,0.445,89,9,18,12,14
2,4,5,7,3,5,3,4,4,7,5,2,2,3,6,4,9,6,7,2,0.45,90,11,11,17,11
7,5,4,2,5,7,6,7,2,3,4,3,3,4,4,9,9,3,6,2,0.475,95,15,15,10,14
5,7,6,6,4,5,5,3,7,3,6,5,2,6,9,5,2,6,10,10,0.56,112,15,20,13,14
9,7,2,2,2,1,4,8,10,4,7,7,4,4,5,7,6,4,7,4,0.52,104,14,18,8,17
3,2,4,12,5,5,3,7,4,3,8,1,8,4,4,4,8,6,3,8,0.51,102,7,11,20,12
7,4,11,4,8,3,8,4,4,5,6,5,3,4,4,6,2,4,2,9,0.515,103,8,15,17,20
7,2,6,8,4,2,9,4,6,4,3,2,4,13,8,6,5,8,7,4,0.56,112,13,28,16,12
5,2,3,7,7,6,9,3,4,6,5,10,8,5,5,9,6,6,2,5,0.565,113,11,15,20,16
6,5,5,3,6,8,4,6,2,7,3,11,4,3,7,7,5,5,5,10,0.56,112,12,16,16,22
6,4,5,8,6,2,0,4,3,6,0,6,5,4,6,7,5,4,4,7,0.46,92,11,16,20,15
5,5,2,6,6,5,6,6,8,6,5,5,4,4,3,3,3,3,6,2,0.465,93,9,12,18,13
5,6,7,5,4,3,4,8,4,5,5,3,3,4,5,5,6,4,3,5,0.47,94,8,14,14,18
5,8,8,7,6,5,7,10,4,2,5,5,6,5,3,0,3,7,5,2,0.515,103,5,13,15,23
6,8,10,3,6,7,9,3,8,2,9,4,4,2,5,10,4,3,3,3,0.545,109,13,13,11,17
5,4,8,3,3,4,5,8,8,8,5,3,7,4,3,8,4,6,9,5,0.55,110,17,12,14,19
10,7,5,3,4,8,6,2,6,4,3,8,3,9,4,10,4,4,5,10,0.575,115,15,23,11,15
2,5,7,5,4,3,2,1,3,5,4,6,6,3,4,6,2,4,3,8,0.415,83,9,9,14,14
2,6,2,5,0,4,4,6,7,8,6,6,2,4,7,5,2,4,8,2,0.45,90,13,13,13,14
4,12,7,8,4,9,2,6,4,4,5,2,10,4,8,7,3,6,5,5,0.575,115,12,16,16,15
5,5,0,2,3,4,8,3,5,1,10,7,3,5,2,5,11,5,4,5,0.465,93,9,12,6,10
5,6,3,6,7,3,4,4,3,6,3,9,6,4,5,6,3,2,1,8,0.47,94,7,14,19,16
4,4,0,8,8,5,10,2,3,6,5,10,3,6,8,8,3,4,5,6,0.54,108,13,18,22,12
6,5,1,7,7,7,3,8,6,2,3,5,11,12,8,5,11,3,4,4,0.59,118,9,26,16,14
4,11,3,2,3,5,6,4,7,13,8,4,7,7,8,7,5,6,3,7,0.6,120,10,19,18,11
7,4,6,9,6,5,6,8,6,3,3,1,2,5,6,6,8,7,1,4,0.515,103,7,18,18,15
5,2,5,3,5,7,5,2,7,4,5,5,2,4,3,5,3,4,7,9,0.46,92,12,12,12,12
4,5,7,3,5,7,5,1,4,2,4,5,3,3,9,3,7,8,3,8,0.48,96,6,16,10,13
1,4,5,4,0,2,5,8,3,2,8,4,4,3,5,11,6,5,8,6,0.47,94,19,9,6,17
9,5,6,4,2,4,5,1,6,2,9,3,4,3,3,4,4,7,9,6,0.48,96,13,15,8,10
6,5,7,9,1,4,6,5,6,4,3,7,3,2,2,5,1,2,1,5,0.42,84,6,10,14,19
7,5,8,6,3,5,2,4,8,8,2,6,6,4,5,7,3,5,4,1,0.495,99,11,16,17,18
4,3,5,4,4,4,3,6,5,11,4,3,3,4,4,8,4,7,4,4,0.47,94,12,12,19,14
4,5,4,5,6,4,5,4,5,6,5,5,8,4,4,4,9,7,2,9,0.525,105,6,12,17,13
3,6,5,7,1,3,8,5,9,8,5,5,7,2,3,3,8,5,6,3,0.51,102,9,8,16,15
6,5,5,4,8,8,9,2,4,6,6,4,5,8,3,9,8,8,6,5,0.595,119,15,17,18,11
8,5,6,4,7,2,4,6,4,9,3,13,5,3,10,9,3,5,4,8,0.59,118,13,21,20,25
4,3,5,7,6,5,1,2,5,8,6,7,3,5,7,2,5,5,2,2,0.45,90,4,16,21,14
7,2,7,7,8,7,1,3,1,2,6,9,9,4,4,1,4,1,8,4,0.475,95,9,15,17,19
4,6,4,0,7,6,9,10,4,4,9,6,3,3,2,5,3,3,8,7,0.515,103,13,9,11,20
5,1,6,0,6,5,6,8,4,5,5,10,3,4,5,8,5,7,2,3,0.49,98,10,14,11,24
4,5,6,5,1,6,4,10,4,2,3,9,5,4,5,4,1,4,2,5,0.445,89,6,13,8,25
2,8,1,4,9,7,7,4,7,6,5,2,8,6,15,7,8,4,6,7,0.615,123,13,23,19,7
6,6,4,5,8,3,4,5,13,4,2,3,4,5,8,6,6,5,6,4,0.535,107,12,19,17,12
4,1,1,5,5,2,5,10,6,7,4,1,9,3,6,3,3,4,4,4,0.435,87,7,13,17,12
3,7,8,3,1,3,3,5,4,6,9,8,4,8,4,1,5,5,6,2,0.475,95,7,15,10,21
7,3,3,4,4,4,5,5,6,2,4,4,2,6,5,8,10,8,9,6,0.525,105,17,18,10,12
6,5,2,4,3,7,4,5,2,6,4,8,9,5,8,5,7,4,8,3,0.525,105,13,19,13,15
6,5,7,3,3,6,2,6,8,5,7,5,6,3,5,5,1,7,5,2,0.485,97,10,14,11,18
4,5,4,2,9,6,5,6,5,10,4,4,3,5,14,7,4,1,6,4,0.54,108,13,23,21,14
8,4,6,7,10,5,2,4,5,4,7,8,5,9,3,5,9,5,3,4,0.565,113,8,20,21,18
7,6,3,6,9,3,4,11,5,3,3,9,5,5,5,1,5,8,5,6,0.545,109,6,17,18,23
5,5,6,7,4,3,3,4,2,5,5,7,3,5,6,7,5,6,3,6,0.485,97,10,16,16,17
2,5,6,11,6,8,4,7,6,5,5,0,2,9,7,4,4,8,2,7,0.54,108,6,18,22,13
3,4,7,6,6,4,6,7,7,6,2,5,1,3,5,7,2,2,7,1,0.455,91,14,11,18,19
5,5,8,5,7,4,4,4,5,4,3,11,5,4,4,9,6,2,7,5,0.535,107,16,13,16,23
10,9,2,5,5,6,4,8,6,5,2,3,2,6,4,1,6,16,5,2,0.535,107,6,20,15,13
7,8,4,6,7,5,9,5,5,7,6,4,3,4,3,4,2,9,6,3,0.535,107,10,14,20,13
3,6,6,6,1,10,2,3,5,10,4,4,4,8,7,4,7,6,2,3,0.505,101,6,18,17,13
10,5,4,4,3,2,5,3,4,6,3,1,8,0,3,2,5,7,8,5,0.44,88,10,13,13,8
7,7,5,6,3,5,5,3,7,8,0,5,4,5,4,4,7,3,6,3,0.485,97,10,16,17,13
4,4,10,5,7,6,1,2,3,2,3,4,5,3,7,9,4,2,2,4,0.435,87,11,14,14,16
6,8,7,6,5,8,11,5,5,6,5,2,5,5,5,4,6,6,9,3,0.585,117,13,16,17,14
3,4,5,3,5,6,5,4,6,4,3,3,6,5,6,2,1,4,8,5,0.44,88,10,14,12,12
6,3,1,2,5,4,3,9,8,3,3,2,5,3,3,5,1,4,5,6,0.405,81,10,12,10,12
7,8,3,4,3,3,3,1,3,5,3,6,5,9,3,6,8,5,2,6,0.465,93,8,19,12,10
8,3,9,6,6,5,5,4,5,6,5,4,4,6,6,11,5,6,7,4,0.575,115,18,20,18,17
8,8,6,3,4,10,3,9,2,7,4,5,5,4,7,6,5,6,7,2,0.555,111,13,19,14,20
2,8,1,4,3,4,4,7,5,9,5,3,6,5,4,2,9,6,5,3,0.475,95,7,11,16,11
8,4,6,5,4,8,6,5,4,7,3,4,5,8,2,5,3,8,2,6,0.515,103,7,18,16,15
6,3,5,8,9,4,6,11,2,8,3,4,6,7,2,4,7,4,2,5,0.53,106,6,15,25,20
3,5,2,3,3,4,3,3,5,5,5,4,5,6,6,0,8,7,4,1,0.41,82,4,15,11,9
4,3,8,7,14,3,2,6,3,4,6,8,6,7,2,4,5,7,7,6,0.56,112,11,13,25,22
4,5,1,7,8,4,5,8,3,3,6,8,6,5,6,2,4,4,8,5,0.51,102,10,15,18,17
8,7,6,6,7,2,5,7,10,4,6,8,5,5,2,7,9,6,2,4,0.58,116,9,15,17,21
4,2,5,6,7,3,4,2,5,3,4,3,6,6,5,2,6,6,4,9,0.46,92,6,15,16,10
6,6,5,2,4,6,5,5,5,3,3,5,6,6,5,2,4,3,2,2,0.425,85,4,17,9,15
5,4,4,2,4,4,1,6,5,2,7,4,6,2,4,2,2,1,5,6,0.38,76,7,11,8,14
3,3,2,9,5,7,4,6,7,6,7,6,2,4,8,4,6,9,4,4,0.53,106,8,15,20,14
5,6,5,9,5,3,1,7,4,6,5,7,4,7,6,5,7,2,4,5,0.515,103,9,18,20,19
3,5,5,3,3,2,3,6,6,3,5,1,5,4,6,7,4,2,6,3,0.41,82,13,13,9,12
5,6,6,9,7,4,2,6,5,4,9,2,5,4,5,5,11,7,6,4,0.56,112,11,14,20,14
1,6,5,4,6,5,3,6,7,0,6,3,7,5,5,4,6,5,10,7,0.505,101,14,11,10,14
6,3,4,3,5,6,6,3,3,3,9,8,6,11,4,7,5,5,6,1,0.52,104,13,21,11,15
4,8,7,5,7,3,1,3,7,4,7,7,3,6,4,7,7,4,7,6,0.535,107,14,14,16,17
7,8,5,7,2,3,3,4,3,6,8,8,7,4,3,4,4,7,2,2,0.485,97,6,14,15,17
7,7,4,4,5,5,7,10,4,6,3,4,5,2,5,3,5,4,7,3,0.5,100,10,14,15,18
1,5,4,5,3,4,1,3,5,6,5,3,6,3,5,2,4,4,3,4,0.38,76,5,9,14,10
6,5,5,6,0,5,2,4,5,6,7,7,10,8,13,7,5,5,3,7,0.58,116,10,27,12,16
5,5,8,7,4,7,5,7,9,5,3,7,4,6,5,6,3,7,7,6,0.58,116,13,16,16,22
5,0,5,6,8,3,5,3,1,3,4,3,10,3,5,7,3,3,5,8,0.45,90,12,13,17,11
3,7,4,5,2,4,4,13,6,5,5,3,5,7,3,5,6,1,4,5,0.485,97,9,13,12,20
4,5,3,5,1,6,4,3,5,6,5,7,3,5,5,2,6,5,5,6,0.455,91,7,14,12,13
4,4,7,11,6,5,7,8,3,5,3,8,10,9,8,1,0,8,6,8,0.605,121,7,21,22,23
6,2,5,2,6,9,7,7,6,5,2,5,6,6,2,9,9,9,3,8,0.57,114,12,14,13,17
3,4,4,8,7,4,6,5,4,2,4,7,5,3,8,3,4,3,4,6,0.47,94,7,14,17,16
9,3,8,2,7,5,7,8,6,4,3,6,6,5,7,6,2,4,5,3,0.53,106,11,21,13,22
1,3,3,3,2,10,6,3,4,3,6,6,8,6,5,9,2,3,4,4,0.455,91,13,12,8,12
5,5,2,4,6,5,6,7,3,3,4,6,4,9,3,2,2,5,6,5,0.46,92,8,17,13,15
1,5,4,8,5,10,3,8,2,5,5,4,5,5,3,6,6,5,9,6,0.525,105,15,9,18,16
3,3,0,4,7,7,4,5,5,5,3,3,5,3,1,7,3,8,4,3,0.415,83,11,7,16,8
5,3,2,5,4,0,8,3,7,4,9,5,12,1,8,4,6,10,7,7,0.55,110,11,14,13,10
6,7,5,7,5,4,4,2,3,5,6,4,2,3,2,4,5,10,5,5,0.47,94,9,11,17,11
5,4,4,7,10,6,2,5,3,6,4,2,2,6,3,3,3,6,4,5,0.45,90,7,14,23,11
7,3,5,5,6,6,3,6,5,6,10,7,3,5,6,4,5,9,5,1,0.535,107,9,18,17,18
3,1,7,4,3,4,7,7,4,6,10,5,8,6,13,5,5,5,6,11,0.6,120,11,22,13,19
5,4,4,5,8,2,5,8,4,5,6,4,5,3,2,7,7,9,6,5,0.52,104,13,10,18,16
4,10,2,5,5,4,7,7,2,3,7,5,5,4,3,1,8,5,7,9,0.515,103,8,11,13,14
8,5,5,1,10,5,4,3,6,7,9,10,4,4,4,5,10,11,4,6,0.605,121,9,16,18,18
3,5,1,4,2,6,4,4,4,3,5,1,3,12,4,6,2,1,5,2,0.385,77,11,19,9,6
1,6,4,9,7,3,4,5,5,1,7,7,6,6,3,3,4,2,7,7,0.485,97,10,10,17,16
2,3,3,4,5,4,7,7,2,3,8,8,7,5,5,2,4,5,7,3,0.47,94,9,12,12,18
6,5,4,7,5,8,3,9,8,7,4,7,9,3,7,4,2,5,6,5,0.57,114,10,16,19,20
5,6,7,4,5,5,5,3,5,5,7,7,11,7,4,5,5,5,7,5,0.565,113,12,16,14,17
6,5,8,9,6,6,2,10,1,4,5,3,6,4,5,4,5,7,5,4,0.525,105,9,15,19,21
2,9,7,5,4,9,7,6,4,6,3,2,5,6,7,7,12,4,7,6,0.59,118,14,15,15,15
5,6,4,2,6,6,8,4,8,6,12,8,4,5,6,7,6,3,7,10,0.615,123,14,16,14,16
4,3,7,6,5,2,5,2,1,2,7,7,5,5,1,3,6,3,4,2,0.4,80,7,10,13,16
5,4,9,7,5,4,6,6,4,4,8,9,3,3,6,7,2,4,6,2,0.52,104,13,14,16,24
5,8,3,6,3,2,8,3,5,3,7,8,8,7,5,4,2,4,9,7,0.535,107,13,17,12,14
3,5,4,7,7,2,3,5,9,3,4,7,5,3,5,1,4,3,3,2,0.425,85,4,11,17,16
10,4,3,5,6,8,2,7,7,7,7,5,3,6,2,8,5,6,3,6,0.55,110,11,18,18,15
10,8,7,3,6,4,3,4,6,5,9,7,4,2,3,3,2,5,5,4,0.5,100,8,15,14,18
4,5,2,4,5,1,7,5,7,5,4,5,7,6,5,5,7,4,8,7,0.515,103,13,15,14,12
8,6,7,2,3,4,5,4,4,6,4,4,6,13,4,8,2,1,7,6,0.52,104,15,25,11,15
5,4,4,10,8,2,3,7,1,6,2,3,1,3,2,7,2,5,8,7,0.45,90,15,10,24,14
5,2,4,6,5,8,5,3,7,4,7,7,7,8,5,2,4,1,1,6,0.485,97,3,18,15,14
7,5,1,4,6,3,10,6,3,4,5,4,4,4,4,3,3,7,5,5,0.465,93,8,15,14,11
8,5,4,7,5,5,5,4,9,5,8,1,7,9,4,2,6,5,8,6,0.565,113,10,21,17,9
1,5,5,10,4,5,6,2,3,3,8,3,5,3,4,5,6,3,13,7,0.505,101,18,8,17,10
5,7,3,4,10,3,4,5,5,6,3,4,4,6,5,8,5,4,10,4,0.525,105,18,16,20,12
4,5,4,6,7,5,8,4,6,2,2,6,6,4,4,2,8,1,6,13,0.515,103,8,12,15,14
8,3,4,2,5,3,6,6,5,5,2,4,3,7,5,1,3,5,1,5,0.415,83,2,20,12,14
9,3,6,9,4,6,11,7,6,3,3,10,3,7,4,3,9,2,3,5,0.565,113,6,20,16,23
8,4,9,8,5,4,9,4,3,12,9,6,2,3,7,6,7,7,8,3,0.62,124,14,18,25,19
0,4,3,2,9,3,5,7,4,10,7,6,5,3,4,4,5,9,6,6,0.51,102,10,7,21,16
5,3,0,4,6,4,3,3,4,6,1,3,7,8,3,7,6,1,2,4,0.4,80,9,16,16,6
4,8,5,4,3,3,4,5,8,7,4,3,2,7,6,9,5,4,5,8,0.52,104,14,17,14,13
5,2,9,3,8,7,4,2,1,6,6,6,6,8,7,5,6,5,3,6,0.525,105,8,20,17,17
3,5,9,0,9,6,9,6,4,4,5,6,8,4,7,8,4,6,6,5,0.57,114,14,14,13,21
3,3,4,5,6,7,5,2,7,6,3,3,3,7,2,3,5,5,7,4,0.45,90,10,12,17,9
9,4,4,5,4,4,4,7,7,7,10,3,9,3,8,4,4,2,8,4,0.55,110,12,20,16,14
4,2,5,1,3,3,3,11,1,4,7,3,5,2,0,4,2,5,6,5,0.38,76,10,6,8,19
6,6,6,8,3,1,7,4,6,4,5,3,4,4,9,3,3,4,7,6,0.495,99,10,19,15,13
6,7,4,6,4,6,6,4,4,7,4,5,1,6,3,7,2,6,5,3,0.48,96,12,15,17,13
5,2,5,7,4,4,4,7,9,2,4,4,4,2,6,2,5,5,5,2,0.44,88,7,13,13,16
4,3,1,4,6,2,4,3,6,4,1,5,4,2,6,7,9,4,6,2,0.415,83,13,12,14,9
7,3,5,5,4,5,5,5,2,10,5,6,2,6,4,9,7,5,1,3,0.495,99,10,17,19,16
4,9,6,2,5,6,3,5,0,2,4,5,7,4,6,4,9,3,8,4,0.48,96,12,14,9,16
3,4,9,4,2,8,6,6,5,2,5,3,4,6,8,6,6,3,7,6,0.515,103,13,17,8,18
6,4,10,7,9,5,4,8,6,3,4,3,4,6,4,7,9,3,3,5,0.55,110,10,16,19,21
8,6,9,5,7,5,4,5,5,3,7,6,8,3,7,6,4,5,5,4,0.56,112,11,18,15,20
3,2,5,5,7,6,6,4,8,9,7,6,2,4,6,5,7,3,3,2,0.5,100,8,13,21,15
8,5,1,8,5,7,6,9,5,4,8,4,4,2,9,5,6,7,7,8,0.59,118,12,19,17,14
10,2,8,3,4,6,7,6,2,7,7,6,7,4,6,8,4,3,6,6,0.56,112,14,20,14,20
1,6,3,3,5,5,3,3,2,10,9,5,6,3,4,7,7,7,10,4,0.515,103,17,8,18,11
5,4,8,5,6,3,12,9,5,4,4,4,7,11,4,2,6,7,3,5,0.57,114,5,20,15,21
4,3,9,4,5,3,0,5,9,4,3,2,4,1,6,1,7,4,2,0,0.38,76,3,11,13,16
5,5,3,6,3,4,3,5,3,8,5,7,3,6,2,7,8,6,5,4,0.49,98,12,13,17,15
4,6,6,8,2,5,6,3,3,6,7,5,5,5,4,5,6,11,8,4,0.545,109,13,13,16,14
7,7,2,5,8,3,5,6,3,4,6,4,5,3,1,4,2,2,5,7,0.445,89,9,11,17,12
4,3,8,6,4,7,10,4,6,7,3,4,6,2,2,4,2,3,3,1,0.445,89,7,8,17,16
3,5,5,3,2,6,5,7,3,5,2,1,4,3,6,5,9,10,4,3,0.455,91,9,12,10,13
